Date,Result,LAL Points,Opp points,LAL 3P%,REB
"Tue, Oct 22, 2019",L,102,112,39.4,41
"Fri, Oct 25, 2019",W,95,86,30.8,42
"Sun, Oct 27, 2019",W,120,101,35.5,47
"Tue, Oct 29, 2019",W,120,91,26.9,54
"Fri, Nov 1, 2019",W,119,110,28.1,41
"Sun, Nov 3, 2019",W,103,96,25,46
"Tue, Nov 5, 2019",W,118,112,33.3,49
"Fri, Nov 8, 2019",W,95,80,25,48
"Sun, Nov 10, 2019",L,104,113,33.3,51
"Tue, Nov 12, 2019",W,123,115,40,44
"Wed, Nov 13, 2019",W,120,94,45,51
"Fri, Nov 15, 2019",W,99,97,29.7,41
"Sun, Nov 17, 2019",W,122,101,42.9,42
"Tue, Nov 19, 2019",W,112,107,45.2,46
"Fri, Nov 22, 2019",W,130,127,54.8,45
"Sat, Nov 23, 2019",W,109,108,33.3,40
"Mon, Nov 25, 2019",W,114,104,42.4,40
"Wed, Nov 27, 2019",W,114,110,33.3,37
"Fri, Nov 29, 2019",W,125,103,43.8,47
"Sun, Dec 1, 2019",L,100,114,25.9,45
"Tue, Dec 3, 2019",W,105,96,29.2,56
"Wed, Dec 4, 2019",W,121,96,48.3,46
"Fri, Dec 6, 2019",W,136,113,47.2,45
"Sun, Dec 8, 2019",W,142,125,45.2,41
"Wed, Dec 11, 2019",W,96,87,38.7,49
"Fri, Dec 13, 2019",W,113,110,32.4,50
"Sun, Dec 15, 2019",W,101,96,16.1,56
"Tue, Dec 17, 2019",L,102,105,25.8,42
"Thu, Dec 19, 2019",L,104,111,34.3,38
"Sun, Dec 22, 2019",L,104,128,34.5,45
"Wed, Dec 25, 2019",L,106,111,26.7,42
"Sat, Dec 28, 2019",W,128,120,34.4,44
"Sun, Dec 29, 2019",W,108,95,39.1,39
"Wed, Jan 1, 2020",W,117,107,25,45
"Fri, Jan 3, 2020",W,123,113,48.3,47
"Sun, Jan 5, 2020",W,106,99,30,50
"Tue, Jan 7, 2020",W,117,87,47.2,48
"Fri, Jan 10, 2020",W,129,114,41.7,49
"Sat, Jan 11, 2020",W,125,110,46.9,54
"Mon, Jan 13, 2020",W,128,99,36.7,48
"Wed, Jan 15, 2020",L,118,119,39.5,48
"Sat, Jan 18, 2020",W,124,115,33.3,49
"Mon, Jan 20, 2020",L,107,139,26.9,36
"Wed, Jan 22, 2020",W,100,92,33.3,43
"Thu, Jan 23, 2020",W,128,113,50,52
"Sat, Jan 25, 2020",L,91,108,19.4,35
"Fri, Jan 31, 2020",L,119,127,34.4,62
"Sat, Feb 1, 2020",W,129,113,44.2,46
"Tue, Feb 4, 2020",W,129,102,42.9,58
"Thu, Feb 6, 2020",L,111,121,29,38
"Sat, Feb 8, 2020",W,125,120,48.3,47
"Mon, Feb 10, 2020",W,125,100,37.8,59
"Wed, Feb 12, 2020",W,120,116,36.4,49
"Fri, Feb 21, 2020",W,117,105,31,49
"Sun, Feb 23, 2020",W,114,112,32.4,46
"Tue, Feb 25, 2020",W,118,109,29.5,51
"Thu, Feb 27, 2020",W,116,86,33.3,44
"Sat, Feb 29, 2020",L,88,105,25.7,45
"Sun, Mar 1, 2020",W,122,114,37.1,36
"Tue, Mar 3, 2020",W,120,107,39.4,43
"Fri, Mar 6, 2020",W,113,103,18.8,52
"Sun, Mar 8, 2020",W,112,103,28.6,45
"Tue, Mar 10, 2020",L,102,104,37.5,46
"Thu, Jul 30, 2020",W,103,101,30.6,45
"Sat, Aug 1, 2020",L,92,107,25,40
"Mon, Aug 3, 2020",W,116,108,34.6,38
"Wed, Aug 5, 2020",L,86,105,13.5,46
"Thu, Aug 6, 2020",L,97,113,10.5,48
"Sat, Aug 8, 2020",L,111,116,33.3,44
"Mon, Aug 10, 2020",W,124,121,48.3,32
"Thu, Aug 13, 2020",L,122,136,42.9,47
"Tue, Aug 18, 2020",L,93,100,15.6,55
"Thu, Aug 20, 2020",W,111,88,36.8,50
"Sat, Aug 22, 2020",W,116,108,33.3,55
"Mon, Aug 24, 2020",W,135,115,43.6,41
"Sat, Aug 29, 2020",W,131,122,38.9,41
"Fri, Sep 4, 2020",L,97,112,28.9,41
"Sun, Sep 6, 2020",W,117,109,44.4,41
"Tue, Sep 8, 2020",W,112,102,33.3,43
